city_name,latitude,longitude
Adelaide,-34.9289,138.6011
Albany,-35.0228,117.8814
Albury,-36.0806,146.9158
AliceSprings,-23.7,133.8667
Ballarat,-37.55,143.85
Bendigo,-36.75,144.2667
Brisbane,-27.4678,153.0281
Cairns,-16.9303,145.7703
Canberra,-35.2931,149.1269
Cobar,-31.4997,145.8319
CoffsHarbour,-30.3022,153.1189
Darwin,-12.4381,130.8411
GoldCoast,-28.0167,153.4
Hobart,-42.8806,147.325
Launceston,-41.4419,147.145
Melbourne,-37.8136,144.9631
Mildura,-34.1889,142.1583
Moree,-29.465,149.8344
MountGambier,-37.8294,140.7828
Newcastle,-32.9167,151.75
Nuriootpa,-34.4667,138.9833
Penrith,-33.7511,150.6942
Perth,-31.9522,115.8589
Portland,-38.3333,141.6
Richmond,-33.5983,150.7511
Sale,-38.1,147.0667
Sydney,-33.865,151.2094
Townsville,-19.2564,146.8183
WaggaWagga,-35.1189,147.3689
Wollongong,-34.4331,150.8831
